particle_id,longitude,latitude,mass,water_fraction,age_hours
304,70.7537402006721,20.8833023211708,1.0,0.0,36.0
305,70.71402125579765,20.856378127014715,1.0,0.0,36.0
306,70.74251811255208,20.824515776790214,1.0,0.0,36.0
307,70.71335479497633,20.849125271579563,1.0,0.0,36.0
308,70.72031246858637,20.838297759522014,1.0,0.0,36.0
309,70.73423776441297,20.863116324862553,1.0,0.0,36.0
310,70.73625617759957,20.839351220188185,1.0,0.0,36.0
311,70.7147376864963,20.839198997582777,1.0,0.0,36.0
312,70.75768931435503,20.857377958945747,1.0,0.0,36.0
313,70.73159470207261,20.845752064910997,1.0,0.0,36.0
314,70.74549631280027,20.853812124065676,1.0,0.0,36.0
315,70.72203664918328,20.831261040037848,1.0,0.0,36.0
316,70.75171899240728,20.880954016112913,1.0,0.0,36.0
317,70.74888740163067,20.829950073423955,1.0,0.0,36.0
318,70.73928913114634,20.82776103528029,1.0,0.0,36.0
319,70.75923577926432,20.84349196974996,1.0,0.0,36.0
320,70.74294423035838,20.866158937921053,1.0,0.0,36.0
321,70.76382685926383,20.86356388081235,1.0,0.0,36.0
322,70.74106601940635,20.845829931267488,1.0,0.0,36.0
323,70.74232592905854,20.8793299566028,1.0,0.0,36.0
324,70.73629795125264,20.84847410153405,1.0,0.0,36.0
325,70.6934613538127,20.862416659954068,1.0,0.0,36.0
326,70.72873929608981,20.82268320483425,1.0,0.0,36.0
327,70.74561332813622,20.848054942293615,1.0,0.0,36.0
328,70.73646837144705,20.874367572108497,1.0,0.0,36.0
329,70.73952444844811,20.861498019090426,1.0,0.0,36.0
330,70.7283263606542,20.854355878430855,1.0,0.0,36.0
331,70.72530654505117,20.869944792597536,1.0,0.0,36.0
332,70.72976737655254,20.86674362723244,1.0,0.0,36.0
333,70.75542749058965,20.84751573525153,1.0,0.0,36.0
334,70.73648658700296,20.835872314246796,1.0,0.0,36.0
335,70.75187548935297,20.847755640212906,1.0,0.0,36.0
336,70.74092949154802,20.85247986303704,1.0,0.0,36.0
337,70.73586252144754,20.85067131353456,1.0,0.0,36.0
338,70.71508186927063,20.831236881304328,1.0,0.0,36.0
339,70.72522736398453,20.868797721558515,1.0,0.0,36.0
340,70.70092186341155,20.868948483787637,1.0,0.0,36.0
341,70.74217679640175,20.84229064149043,1.0,0.0,36.0
342,70.75041850589616,20.841099402230363,1.0,0.0,36.0
343,70.73011310981997,20.84069304848727,1.0,0.0,36.0
344,70.73210580090944,20.81439429363718,1.0,0.0,36.0
345,70.7570953131596,20.8174804839002,1.0,0.0,36.0
346,70.73004546643384,20.877840811461663,1.0,0.0,36.0
